data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-04-21,Congelamento do ambiente; Feriado; Tiradentes; Aumento de transações CDO e ATM,Congelamento,,841.663
2015-04-22,,Normal,,4.711.199
2015-04-23,Dia Produção Sisbr,Normal,,4.130.519
2015-04-24,Pagamento de benefícios INSS,Normal,,4.258.006
2015-04-25,Utilização de Caixa Eletrônico ,Normal,,1.002.067
2015-04-26,Utilização de Caixa Eletrônico ,Normal,,509.464
2015-04-27,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios,Alto Risco,,5.041.583
2015-04-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios,Atenção,,4.173.024
2015-04-29,Pagamento de benefícios INSS; Arrecadação de Convênios,Normal,,4.189.517
2015-04-30,Dia Produção Sisbr; Processo de Migração/Incorporação; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch ,Alto Risco,,5.288.292
2015-05-01,Congelamento do ambiente; Feriado; Dia do Trabalho; Processo de Migração/Incorporação; Aumento de transações CDO e ATM;,Feriado,,839.884
2015-05-02,Congelamento do ambiente; Aumento de transações CDO e ATM;,Congelamento,,947.488
2015-05-03,Congelamento do ambiente; Aumento de transações CDO e ATM;,Congelamento,,553.613
2015-05-04,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios,Alto Risco,,6.343.559
2015-05-05,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.539.215
2015-05-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.040.455
2015-05-07,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.454.108
2015-05-08,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação de GPS;,Normal,1,5.359.827
2015-05-09,Congelamento do ambiente; Data comemorativa; Dia das Mães; Aumento de transações CDO e ATM;,Congelamento,,1.194.519
2015-05-10,Congelamento do ambiente; Data comemorativa; Dia das Mães; Aumento de transações CDO e ATM;,Congelamento,,557.892
